Timestamp,Iteration,repetition,PosX,PosY,Gradient X,std,Gradient Y,std
20241004_143228,1,1,195,-55,0,0,0.00151021370183269,7.644115570161178e-05
20241004_143324,1,1,195,-45,0,0,0.001513254563639339,0.0004562840981440664
20241004_143420,1,1,195,-35,0,0,0.0006881508951326448,0.0004428643434257146
20241004_143516,1,1,195,-25,0,0,0.0007570191130942308,0.0002068416096961563
20241004_143612,1,1,195,-15,0,0,8.08282178744994e-05,0.000625939265141354
20241004_143708,1,1,195,-5,0,0,-1.438610882402696e-06,0.0004729307999694362
20241004_143804,1,1,195,5,0,0,-0.0004364143899287486,0.0006227842818458677
20241004_143900,1,1,195,15,0,0,-0.0003598148415206609,0.0002705624598044054
20241004_143956,1,1,195,25,0,0,-0.001256195727545814,0.0004551552161213117
20241004_144052,1,1,195,35,0,0,-0.001381374116913595,4.969108942705933e-05
20241004_144149,1,1,195,45,0,0,-0.001804782405784288,0.0003153977842341664
20241004_144245,1,1,195,55,0,0,-0.002238916277620779,0.000325953138186651
20241004_144341,1,1,195,65,0,0,-0.002721529726520592,0.000305440844830941
20241004_144437,1,1,195,75,0,0,-0.002535486420357849,0.0005975028711317691
20241004_144533,1,1,190,80,0.4501525872740426,0.0002261008676308191,0,0
20241004_144629,1,1,180,80,0.4506330239895451,0.0003966375830832783,0,0
20241004_144725,1,1,170,80,0.4503282940633784,3.07424302503293e-05,0,0
20241004_144821,1,1,160,80,0.4501046703006744,0.0002129098125550559,0,0
20241004_144917,1,1,150,80,0.4497041159241023,0.000227215638209407,0,0
20241004_145013,1,1,140,80,0.4489326699424006,0.0002119860351525691,0,0
20241004_145109,1,1,130,80,0.448808376819074,0.0004506927968230164,0,0
20241004_145205,1,1,120,80,0.4480616842779599,0.0004363432677777134,0,0
20241004_145302,1,1,110,80,0.4475939795689746,4.435585591499049e-05,0,0
20241004_145358,1,1,100,80,0.4478512377781613,0.0003127098970102307,0,0
20241004_145454,1,1,90,80,0.447620727620262,1.78982484349424e-05,0,0
20241004_145550,1,1,80,80,0.4474818830478287,0.0001291195495261504,0,0
20241004_145646,1,1,70,80,0.4468605480056251,0.0002676904285629621,0,0
20241004_145742,1,1,60,80,0.4462097514569756,0.0002104712570563339,0,0
20241004_145839,1,1,50,80,0.445380912555946,0.0001377027477188632,0,0
20241004_145935,1,1,40,80,0.4457213866884653,0.0003486288589872463,0,0
20241004_150031,1,1,30,80,0.445336992196347,0.0002938882895843592,0,0
20241004_150127,1,1,20,80,0.4445733629866397,0.0003838850368788271,0,0
20241004_150223,1,1,10,80,0.4439741096578378,0.0001714154281574853,0,0
20241004_150319,1,1,0,80,0.4436027125173035,0.0003497719934086704,0,0
20241004_150416,1,1,-10,80,0.4436110404017517,0.0001908897904635177,0,0
20241004_150512,1,1,-20,80,0.4434132718718684,6.70131318647305e-05,0,0
20241004_150608,1,1,-30,80,0.4431272597035656,0.0001525639789429715,0,0
20241004_150704,1,1,-40,80,0.4429764336213397,0.0001618374028451638,0,0
20241004_150800,1,1,-50,80,0.4420562852921413,0.0002681052787995528,0,0
20241004_150856,1,1,-60,80,0.4416764240171637,0.0004988793804278706,0,0
20241004_150952,1,1,-70,80,0.4416544940107143,8.322975203998827e-05,0,0
20241004_151049,1,1,-80,80,0.4413931931536404,0.0001711215288307088,0,0
20241004_151145,1,1,-90,80,0.4408098389601475,3.568133811359641e-05,0,0
20241004_151241,1,1,-100,80,0.4402625503642678,0.0001857892840227088,0,0
20241004_151337,1,1,-110,80,0.4396684541493375,0.0001573273857628159,0,0
20241004_151433,1,1,-120,80,0.4392275776232646,0.0001239937399698472,0,0
20241004_151529,1,1,-130,80,0.4393504349700749,7.859536866081673e-05,0,0
20241004_151625,1,1,-140,80,0.4390554333470066,0.0002018855631529643,0,0
20241004_151721,1,1,-150,80,0.4383579092604355,0.0002913603136141244,0,0
20241004_151817,1,1,-160,80,0.43786983208832,0.0001278170263406299,0,0
20241004_151913,1,1,-170,80,0.4375584494162464,6.879909311882046e-05,0,0
20241004_152009,1,1,-180,80,0.4373260890746367,0.0003194245882037695,0,0
20241004_152105,1,1,-190,80,0.4366281555550873,2.039558455276768e-05,0,0
20241004_152201,1,1,-195,75,0,0,-0.00251313830928968,8.327812549868111e-05
20241004_152258,1,1,-195,65,0,0,-0.002094776451437142,0.0001134040655541444
20241004_152354,1,1,-195,55,0,0,-0.001756963008220632,6.019494139201249e-05
20241004_152450,1,1,-195,45,0,0,-0.001464416589770391,2.032986995063176e-05
20241004_152546,1,1,-195,35,0,0,-0.001102402926210762,8.548184074168401e-05
20241004_152642,1,1,-195,25,0,0,-0.0008261988006634441,0.0001804500245568269
20241004_152738,1,1,-195,15,0,0,-0.0004692199190236053,0.0001434634473523254
20241004_152834,1,1,-195,5,0,0,-4.28270636007816e-07,7.654765808476131e-05
20241004_152931,1,1,-195,-5,0,0,0.0001740606280261236,0.000138283308314943
20241004_153027,1,1,-195,-15,0,0,0.0007410610137817273,0.0001012588275366555
20241004_153123,1,1,-195,-25,0,0,0.001164536681202332,0.0001382785236941144
20241004_153219,1,1,-195,-35,0,0,0.001347351565814906,8.011625783022941e-05
20241004_153315,1,1,-195,-45,0,0,0.001739635842300923,0.0001834064429941046
20241004_153411,1,1,-195,-55,0,0,0.002074396437409118,0.0001559619594431684
20241004_153507,1,1,-195,-65,0,0,0.002344866510914226,4.620780309449674e-05
20241004_153603,1,1,-195,-75,0,0,0.002697754392501442,0.000123467437890743
